"alcohol","attire","byob","byob_corkage","corkage","delivery","dogs","drivethru","dancing","groups","happy_hour","tv","noise","outdoor","price","smoking","takeout","reservations","waiters","wheelchairs","wifi","business_id","categories","city","latitude","longitude","name","neighborhoods","open","review_count","stars","state","accepts_cc","romantic","intimate","touristy","hipster","divey","classy","trendy","upscale","casual","parking_lot","valet","live_music","karaoke","location","tip","type","country"
"none","casual",NA,NA,NA,FALSE,NA,NA,NA,TRUE,NA,TRUE,"average",FALSE,1,NA,TRUE,FALSE,TRUE,NA,NA,"JwUE5GmEO-sH1FuwJgKBlQ","Restaurants","De Forest",43.238893,-89.335844,"Pine Cone Restaurant","",TRUE,26,4,"WI",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"43.238893:-89.335844","Pine Cone Restaurant (4 stars) Restaurants","other","USA"
"none","casual",NA,NA,NA,FALSE,FALSE,NA,NA,TRUE,NA,FALSE,"average",TRUE,1,NA,TRUE,FALSE,FALSE,TRUE,"free","ShEYKerTwb2LSORE5o_s7A","Bakeries,Food,Breakfast & Brunch,Coffee & Tea,Restaurants","Middleton",43.107227,-89.496995,"Prairie Cafe & Bakery","",TRUE,38,3.5,"WI",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"43.107227:-89.496995","Prairie Cafe & Bakery (3.5 stars) Bakeries,Food,Breakfast & Brunch,Coffee & Tea,Restaurants","other","USA"
"full_bar","casual",NA,NA,NA,FALSE,NA,NA,FALSE,TRUE,TRUE,TRUE,"average",TRUE,2,"no",TRUE,FALSE,TRUE,TRUE,"no","G1qUGBNYNS220jKlPAlFsA","Bars,American (Traditional),Nightlife,Restaurants","Middleton",43.095724,-89.5120419,"The Village Green Bar & Grill","",TRUE,34,4,"WI",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"43.095724:-89.5120419","The Village Green Bar & Grill (4 stars) Bars,American (Traditional),Nightlife,Restaurants","american","USA"
"none","casual",NA,NA,NA,TRUE,NA,NA,NA,TRUE,NA,NA,NA,NA,1,NA,TRUE,FALSE,FALSE,TRUE,NA,"oc0rCahXOaJeHLzzDdSfyA","Restaurants","Middleton",43.096359,-89.513737,"Soup Factory","",FALSE,3,3,"WI",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"43.096359:-89.513737","Soup Factory (3 stars) Restaurants","other","USA"
"none","casual",NA,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,"quiet",FALSE,1,NA,TRUE,FALSE,FALSE,TRUE,"no","eptljN50_4BpIwc2Op_A_A","Delis,Restaurants","Sun Prairie",43.1783069,-89.241085,"Deli Roma","",FALSE,20,4,"WI",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"43.1783069:-89.241085","Deli Roma (4 stars) Delis,Restaurants","other","USA"
"full_bar","casual",NA,NA,NA,FALSE,NA,NA,NA,TRUE,NA,TRUE,"average",FALSE,2,NA,TRUE,TRUE,TRUE,TRUE,"free","O_Pu4mKGOqQVlmH07Zbnhg","American (Traditional),Restaurants","Windsor",43.1934048235,-89.3387925625,"The Rodeside Grill","",TRUE,14,3.5,"WI",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"43.1934048235:-89.3387925625","The Rodeside Grill (3.5 stars) American (Traditional),Restaurants","american","USA"
"none","casual",NA,NA,NA,TRUE,NA,NA,NA,TRUE,NA,FALSE,"quiet",FALSE,1,NA,TRUE,FALSE,FALSE,TRUE,NA,"oX6KamASYXnMIe5kpVhezw","Chinese,Restaurants","Madison",43.120575,-89.3083769,"Flaming Wok","Mayfair Park",TRUE,20,3.5,"WI",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"43.120575:-89.3083769","Flaming Wok (3.5 stars) Chinese,Restaurants","asian","USA"
"full_bar","casual",NA,NA,NA,FALSE,NA,NA,NA,TRUE,NA,NA,"average",TRUE,2,NA,TRUE,NA,TRUE,TRUE,NA,"S4TWo9X6b3gU6uucj4JN3g","Mexican,Restaurants","Madison",43.120577,-89.314621,"Laredo's","Mayfair Park",TRUE,19,3.5,"WI",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"43.120577:-89.314621","Laredo's (3.5 stars) Mexican,Restaurants","mexican","USA"
"none","casual",FALSE,"yes_free",FALSE,TRUE,NA,NA,NA,FALSE,NA,FALSE,"average",FALSE,1,NA,TRUE,FALSE,FALSE,TRUE,"no","xZwaUcrFMSY1O9dK2dAUpA","Chinese,Restaurants","Madison",43.0944782495,-89.3636251241,"China Wok","",TRUE,17,3.5,"WI",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"43.0944782495:-89.3636251241","China Wok (3.5 stars) Chinese,Restaurants","asian","USA"
"full_bar","casual",NA,NA,NA,FALSE,NA,FALSE,NA,TRUE,NA,TRUE,"average",TRUE,2,NA,TRUE,TRUE,TRUE,NA,NA,"1hBOR97oX5Xph3J8Tdob7w","Burgers,American (Traditional),Restaurants","Middleton",43.0904234,-89.5296526,"Cheeseburger in Paradise","",TRUE,46,2.5,"WI",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"43.0904234:-89.5296526","Cheeseburger in Paradise (2.5 stars) Burgers,American (Traditional),Restaurants","american","USA"
