"business_id","text","stars"
"LRKJF43s9-3jG9Lgx4zODg","get onion rings",4.5
"LRKJF43s9-3jG9Lgx4zODg","Amaze!",4.5
"kiAsweI4sOjDzGyz3Y_HsQ","The burgers are consistently good.",4.5
"kiAsweI4sOjDzGyz3Y_HsQ","Culvers in Middleton often has dog treats at their drive-thru. Our pup gets so excited about his treat that he leaves us alone to enjoy ours!",4.5
"kiAsweI4sOjDzGyz3Y_HsQ","Come here to consume mass calories.  Burgers, curds and custard oh boy!",4.5
"kiAsweI4sOjDzGyz3Y_HsQ","Check the flavor of the day online before you go.",4.5
"3zD6rxB92Mr0jb-LoYFFWw","Avoid! Avoid!",1.5
"yV-eB-pQVeWE7W-WPC8BUg","Great breakfast after our morning walk.",4.5
"unMqU0OrlniCOKZIoQHb0A","Horrible place",1
"unMqU0OrlniCOKZIoQHb0A","Bad service.",1
"XWDk-pLSbVE2Vvv9Z-zusQ","closed for b'fast too, whats wrong with this place? its near 6am... Id go to mcds if not for working in one before.. never again will I eat US McD. bk, you screwed up, again...",1.5
"XWDk-pLSbVE2Vvv9Z-zusQ","Seriously every time I've come here there's a wait at the drive thru. I think it gets slower every time I go. Seriously, you're called fast food for a reason. Sometimes I even get the food cold that it takes so long.",1.5
"XWDk-pLSbVE2Vvv9Z-zusQ","Nice remodeled location. Still has bad food quality. Service was OK but still inattentive. I'd like to see it return to its splendor.",1.5
"XWDk-pLSbVE2Vvv9Z-zusQ","Closes early- but will still have lights on & employees inside. Dont bother, service is often rude",1.5
"jo-BEjs7UYovOAupDAN_yw","Out of business. Closed.",1.5
"jo-BEjs7UYovOAupDAN_yw","Closed, being replaced by a Habanero Mexican Grill",1.5
"QB64-PgfEUzbrOL50bJ0Bw","Beware strawberry shake. faux strawberry flavour & something extra.. its a tiny cup so if you must finish any risk is probably small",1
"QB64-PgfEUzbrOL50bJ0Bw","Facility itself was reasonably clean. Tables were not wiped down though.",1
"j515klfbCAEF3KPiKvHz9g","Sit by the windows if you can!",4.5
"j515klfbCAEF3KPiKvHz9g","Cool for watching planes especially with kids!",4.5
"j515klfbCAEF3KPiKvHz9g","Great breakfast and can't beat the view!",4.5
"j515klfbCAEF3KPiKvHz9g","Very welcoming staff and great food!",4.5
"j515klfbCAEF3KPiKvHz9g","Birthday Breakfast!",4.5
"8AGIIxZ-BBHbEGsgmhOOwA","I'm so hungry that I can eat at Arbys",1
"ki33_SvM4kPjgA44Re8-zQ","Don't forget bulk spices and just scored an awesome deal today on kalamata olives.",4.5
"cCStad4wX3ADPbz5AHCn9g","Don't eat here",1
"Xia0Lo492MDWbCd48scnYA","Go to the Subway at University Station, better service and sandwiches.",1.5
"xH5axHFadmc7Veutt376TA","Being bad but I need a quickie today! Big Mac Attack!",1.5
"xH5axHFadmc7Veutt376TA","southwest salad w grilled chicken",1.5
"tb24fvNJfHhyKEXkKn12Xw","Whoop!",4.5
"tb24fvNJfHhyKEXkKn12Xw","Payton Curry at the helm!",4.5
"tb24fvNJfHhyKEXkKn12Xw","Local eats can't be beat!",4.5
"tb24fvNJfHhyKEXkKn12Xw","Yum!",4.5
"tb24fvNJfHhyKEXkKn12Xw","Buffalo chicken biscuit!",4.5
"tb24fvNJfHhyKEXkKn12Xw","Perfect weather for a perfect patio!!",4.5
"tb24fvNJfHhyKEXkKn12Xw","The hurricane is amazing!! Not syrupy sweet & red - but actual fresh juice w a tangy complex flavor! Oh hell yes!!!!",4.5
"tb24fvNJfHhyKEXkKn12Xw","OMG!  The smothered pork plate is amazing!  With Jan Huffman and Garry Parker...",4.5
"tb24fvNJfHhyKEXkKn12Xw","Smothered Pork is delish!",4.5
"tb24fvNJfHhyKEXkKn12Xw","one tip. go!  try anything!  have a hurricane.  enjoy!",4.5
"tb24fvNJfHhyKEXkKn12Xw","Back again!",4.5
"tb24fvNJfHhyKEXkKn12Xw","Just had an outstanding experience at the Welcome Diner! The special, shrimp po boy was excellent as was the veggies with grits and the staff was brilliant!  Adam and team are OUTSTANDING!",4.5
"tb24fvNJfHhyKEXkKn12Xw","PB & B Burger = Fantabulous!",4.5
"tb24fvNJfHhyKEXkKn12Xw","Taste the rum! Those hurricanes - woo!",4.5
"tb24fvNJfHhyKEXkKn12Xw","Jowl!",4.5
"tb24fvNJfHhyKEXkKn12Xw","Pulled pork Share Fries, and a chicken biscuit is where it's at.",4.5
"tb24fvNJfHhyKEXkKn12Xw","Try the peanut butter burger!!",4.5
"tb24fvNJfHhyKEXkKn12Xw","Yummy strawberry shortcake!",4.5
"tb24fvNJfHhyKEXkKn12Xw","Catfish Po Boy tonight!!!",4.5
"tb24fvNJfHhyKEXkKn12Xw","Not paying $11 for one drink.",4.5
"tb24fvNJfHhyKEXkKn12Xw","A MUST!  Get the Big Jim - fried chicken breast with cheddar on sourdough with the most orgasmic gravy, accompanied with watermelon bits. FRESH lemonade. Friendly, quirky, courteous service.",4.5
"tb24fvNJfHhyKEXkKn12Xw","With Fancy Nancy Colombo.  They have pot roast with blue cheese polenta and kale.",4.5
"tb24fvNJfHhyKEXkKn12Xw","Try the big Jim!",4.5
"tb24fvNJfHhyKEXkKn12Xw","Bumblebee yum",4.5
"tb24fvNJfHhyKEXkKn12Xw","Catfish poo boy!!!",4.5
"tb24fvNJfHhyKEXkKn12Xw","Red beans & rice!",4.5
"tb24fvNJfHhyKEXkKn12Xw","The hipster vibe",4.5
"tb24fvNJfHhyKEXkKn12Xw","Great food, great people.",4.5
"tb24fvNJfHhyKEXkKn12Xw","Rock me like a hurricane!",4.5
"tb24fvNJfHhyKEXkKn12Xw","go quick before they realize they are the next Roscos or better yet Duck Dynasty Miss Kays kitchen",4.5
"tb24fvNJfHhyKEXkKn12Xw","Get the vegan po boy. Then make it unvegan and add bacon.",4.5
