Variable,Description
alcohol,Serves alcohol
attire,
byob,
byob_corkage,
corkage,
delivery,
dogs,
drivethru,
attributes_good.for,
dancing,
groups,Good for groups?
happy_hour,
tv,
noise,
outdoor,Outdoor seating?
price,Price range
smoking,
takeout,
reservations,
waiters,
wheelchairs,Wheelchair accessible?
wifi,
business_id,Unique business ID assigned by Yelp
categories,
city,
latitude,
longitude,
name,
neighborhoods,
open,
review_count,
stars,
state,
accepts_cc,Accepts credit card
romantic,
intimate,
touristy,
hipster,
divey,
classy,
trendy,
upscale,
casual,
parking_lot,
valet,
live_music,
karaoke,
