,Vars,Description
1,attributes_Accepts.Credit.Cards,
2,attributes_Accepts.Insurance,
3,attributes_Ages.Allowed,
4,attributes_Alcohol,"Either none, wine and beer only, or full bar"
5,attributes_Ambience,
6,attributes_Attire,
7,attributes_BYOB,
8,attributes_BYOB.Corkage,
9,attributes_By.Appointment.Only,
10,attributes_Caters,
11,attributes_Coat.Check,
12,attributes_Corkage,
13,attributes_Delivery,
14,attributes_Dietary.Restrictions,"Does the place provide gluten free food, vegan meals, etc."
15,attributes_Dogs.Allowed,
16,attributes_Drive.Thru,
17,attributes_Good.For,"Lunch, breakfast, dinner, late-night, etc."
18,attributes_Good.For.Dancing,
19,attributes_Good.For.Groups,
20,attributes_Good.For.Kids,
21,attributes_Good.for.Kids,
22,attributes_Hair.Types.Specialized.In,For salons and barber shops
23,attributes_Happy.Hour,
24,attributes_Has.TV,
25,attributes_Music,
26,attributes_Noise.Level,
27,attributes_Open.24.Hours,
28,attributes_Order.at.Counter,
29,attributes_Outdoor.Seating,
30,attributes_Parking,
31,attributes_Payment.Types,
32,attributes_Price.Range,
33,attributes_Smoking,
34,attributes_Take.out,
35,attributes_Takes.Reservations,
36,attributes_Waiter.Service,
37,attributes_Wheelchair.Accessible,
38,attributes_Wi.Fi,
39,business_id,Unique business ID for each establishment
40,categories,Type of business
41,city,
42,full_address,
43,hours_Friday,
44,hours_Monday,
45,hours_Saturday,
46,hours_Sunday,
47,hours_Thursday,
48,hours_Tuesday,
49,hours_Wednesday,
50,latitude,
51,longitude,
52,name,
53,neighborhoods,
54,open,
55,review_count,
56,stars,
57,state,
58,type,
