"","Alcohol","Attire","BYOB","BYOB_corkage","Corkage","Delivery","Dietary","Dogs","Drivethru","attributes_Good.For","Dancing","Groups","Happy_hour","TV","Music","Noise","Outdoor","Parking","Payments","Price","Smoking","Takeout","Reservations","Waiters","Wheelchairs","Wifi","business_id","categories","city","latitude","longitude","name","neighborhoods","open","review_count","stars","state","Accepts_CC","Romantic","Intimate","Touristy","Hipster","Divey","Classy","Trendy","Upscale","Casual"
"30","none","casual",NA,NA,NA,FALSE,"",FALSE,NA,"{u'dessert': False, u'latenight': False, u'lunch': True, u'dinner': False, u'breakfast': True, u'brunch': False}",NA,TRUE,NA,FALSE,"","average",TRUE,"{u'garage': False, u'street': True, u'validated': False, u'lot': True, u'valet': False}","",1,NA,TRUE,FALSE,FALSE,TRUE,"free","ShEYKerTwb2LSORE5o_s7A","Bakeries,Food,Breakfast & Brunch,Coffee & Tea,Restaurants","Middleton",43.107227,-89.496995,"Prairie Cafe & Bakery","",TRUE,38,3.5,"WI",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"51","none","casual",NA,NA,NA,FALSE,"",NA,NA,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': False, u'breakfast': True, u'brunch': False}",NA,TRUE,NA,FALSE,"","average",FALSE,"{u'garage': False, u'street': True, u'validated': False, u'lot': False, u'valet': False}","",1,NA,TRUE,FALSE,TRUE,NA,"no","X47o6R2rWiqGqvBtC7VS3Q","Breakfast & Brunch,Restaurants","Middleton",43.0999335,-89.511243,"Three Sisters Old Town Inn","",TRUE,19,4,"WI",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"73","full_bar","casual",NA,NA,NA,FALSE,"",NA,NA,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': False, u'breakfast': True, u'brunch': False}",NA,TRUE,TRUE,TRUE,"{u'dj': True, u'live': True, u'video': False, u'jukebox': True}","average",TRUE,"{u'garage': False, u'street': False, u'validated': False, u'lot': True, u'valet': False}","",2,"yes",NA,FALSE,FALSE,TRUE,NA,"Nj0vQjUYjaa7qbvZlEr2jQ","American (New),Restaurants","Middleton",43.0968907,-89.4949394,"Club Tavern & Grille","",TRUE,16,2.5,"WI",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"75","none","casual",NA,NA,NA,FALSE,"",NA,NA,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': False, u'breakfast': True, u'brunch': False}",NA,TRUE,NA,FALSE,"","average",TRUE,"{u'garage': False, u'street': False, u'validated': False, u'lot': True, u'valet': False}","",1,NA,TRUE,NA,TRUE,NA,NA,"B0Vuwn6Hugc-0U5n31YBfg","Bakeries,Food,American (Traditional),Restaurants,Donuts","Middleton",43.102896,-89.48674,"C's Restaurant Bakery and Coffee Shop","",TRUE,15,4,"WI",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"91",NA,"casual",NA,NA,NA,FALSE,"",NA,NA,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': False, u'breakfast': True, u'brunch': False}",NA,TRUE,NA,TRUE,"","average",FALSE,"{u'garage': False, u'street': False, u'validated': False, u'lot': True, u'valet': False}","",1,NA,TRUE,FALSE,TRUE,TRUE,"no","Xp7OA8gz7zDgB3I54jyb4g","Restaurants","Sun Prairie",43.1822682,-89.2255538,"SIR Hobo's","",TRUE,20,3,"WI",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"93","none","casual",NA,NA,NA,FALSE,"",NA,NA,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': False, u'brunch': False, u'breakfast': True}",NA,TRUE,NA,TRUE,"","average",FALSE,"{u'garage': False, u'street': False, u'validated': False, u'lot': True, u'valet': False}","",1,NA,TRUE,FALSE,TRUE,NA,"no","yV-eB-pQVeWE7W-WPC8BUg","Diners,Restaurants","Sun Prairie",43.188072,-89.230853,"Prairie Diner","",TRUE,9,4.5,"WI",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"99","none","casual",NA,NA,NA,FALSE,"",NA,NA,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': False, u'breakfast': True, u'brunch': True}",NA,FALSE,NA,TRUE,"","average",FALSE,"{u'garage': False, u'street': False, u'validated': False, u'lot': False, u'valet': False}","",1,NA,NA,FALSE,TRUE,NA,"no","MlWXHxdbIODf9GUcvUTfGQ","Restaurants","Sun Prairie",43.1867059,-89.2308961,"Country Cafe","",TRUE,9,3.5,"WI",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"141",NA,"casual",NA,NA,NA,FALSE,"",NA,NA,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': False, u'brunch': False, u'breakfast': True}",NA,TRUE,NA,FALSE,"","average",FALSE,"{u'garage': False, u'street': False, u'validated': False, u'lot': False, u'valet': False}","",2,NA,TRUE,TRUE,TRUE,NA,NA,"yYIEKwgQUHJpySOcVdCAkg","American (New),Restaurants","Madison",43.136087,-89.299369,"Perkins Restaurant & Bakery","Bluff Acres",TRUE,8,2.5,"WI",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"144","none","casual",NA,NA,NA,FALSE,"",NA,NA,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': False, u'brunch': True, u'breakfast': True}",NA,TRUE,NA,FALSE,"","average",FALSE,"{u'garage': False, u'street': False, u'validated': False, u'lot': True, u'valet': False}","",1,NA,TRUE,FALSE,TRUE,TRUE,"no","QF14BFUVHRODxGNVflgm3A","Breakfast & Brunch,Restaurants","Madison",43.1294409,-89.2941061,"Cracker Barrel Old Country Store","",TRUE,13,3,"WI",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"183","none","casual",NA,NA,NA,FALSE,"",NA,NA,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': False, u'breakfast': True, u'brunch': False}",NA,FALSE,NA,FALSE,"","loud",FALSE,"{u'garage': False, u'street': False, u'validated': False, u'lot': True, u'valet': False}","",1,NA,TRUE,FALSE,TRUE,NA,"no","1YEuqVtVMHdpavzoGcUUug","Breakfast & Brunch,Restaurants","Madison",43.1296507,-89.3062815,"International House of Pancakes","Bluff Acres",TRUE,9,2,"WI",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"190",NA,"casual",NA,NA,NA,FALSE,"",NA,NA,"{u'dessert': False, u'latenight': False, u'lunch': True, u'dinner': False, u'brunch': True, u'breakfast': True}",NA,TRUE,NA,FALSE,"","average",TRUE,"{u'garage': False, u'street': False, u'validated': False, u'lot': True, u'valet': False}","",1,NA,TRUE,TRUE,FALSE,FALSE,"free","JPFzpR5PvZWqHXQMIZFk2w","Cafes,Sandwiches,Restaurants","Madison",43.122992,-89.309042,"Cool Beans Coffee House and Cafe","",TRUE,25,4,"WI",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"191","full_bar","casual",NA,"yes_corkage",TRUE,FALSE,"",TRUE,NA,"{u'dessert': False, u'latenight': False, u'lunch': True, u'dinner': False, u'breakfast': True, u'brunch': False}",NA,TRUE,NA,FALSE,"","average",TRUE,"{u'garage': False, u'street': True, u'validated': False, u'lot': True, u'valet': False}","",1,NA,TRUE,FALSE,TRUE,TRUE,"no","fjaQ3Ixkofh8xGhklUtDnA","American (Traditional),Diners,Restaurants","Madison",43.09242,-89.3518969,"Monty's Blue Plate Diner","Schenk - Atwood,Williamson - Marquette",TRUE,266,4,"WI",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"236","none","casual",NA,NA,NA,FALSE,"",NA,NA,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': False, u'brunch': True, u'breakfast': True}",NA,TRUE,NA,TRUE,"","average",FALSE,"{u'garage': False, u'street': False, u'validated': False, u'lot': True, u'valet': False}","",1,NA,TRUE,TRUE,TRUE,TRUE,"free","j515klfbCAEF3KPiKvHz9g","Diners,Restaurants","Madison",43.140174,-89.3258863,"Pat O'Malley's Jet Room","",TRUE,36,4.5,"WI",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
