"","Alcohol","Attire","BYOB","BYOB_corkage","Corkage","Delivery","Dietary","Dogs","Drivethru","attributes_Good.For","Dancing","Groups","Happy_hour","TV","Music","Noise","Outdoor","Parking","Payments","Price","Smoking","Takeout","Reservations","Waiters","Wheelchairs","Wifi","business_id","categories","city","latitude","longitude","name","neighborhoods","open","review_count","stars","state","Accepts_CC","Romantic","Intimate","Touristy","Hipster","Divey","Classy","Trendy","Upscale","Casual"
"9","full_bar","casual",NA,NA,NA,FALSE,"",FALSE,NA,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': True, u'breakfast': False, u'brunch': False}",NA,TRUE,NA,TRUE,"","average",FALSE,"{u'garage': False, u'street': False, u'validated': False, u'lot': True, u'valet': False}","",2,NA,TRUE,TRUE,TRUE,TRUE,"free","rdAdANPNOcvUtoFgcaY9KA","American (Traditional),Restaurants","Mc Farland",43.0256436,-89.3061344,"Green Lantern Restaurant","",TRUE,33,3.5,"WI",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"11","full_bar","casual",NA,NA,NA,FALSE,"",NA,NA,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': True, u'brunch': False, u'breakfast': False}",FALSE,TRUE,TRUE,TRUE,"{}","loud",TRUE,"{u'garage': False, u'street': False, u'validated': False, u'lot': True, u'valet': False}","",2,"outdoor",TRUE,TRUE,TRUE,TRUE,"no","_wZTYYL7cutanzAnJUTGMA","Bars,American (Traditional),Nightlife,Lounges,Restaurants","Mc Farland",43.017701,-89.303789,"Beach House Restaurant & Lounge","",TRUE,31,3.5,"WI",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"17","full_bar","casual",NA,NA,NA,FALSE,"",NA,NA,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': True, u'breakfast': False, u'brunch': False}",NA,TRUE,NA,FALSE,"","average",FALSE,"{u'garage': False, u'street': False, u'validated': False, u'lot': True, u'valet': False}","",2,NA,TRUE,TRUE,TRUE,TRUE,NA,"SKLw05kEIlZcpTD5pqma8Q","Party & Event Planning,Asian Fusion,Event Planning & Services,Venues & Event Spaces,Restaurants","Middleton",43.090642,-89.485169,"Imperial Garden Chinese Restaurant","",TRUE,41,3,"WI",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"18","full_bar","casual",NA,NA,NA,FALSE,"",NA,NA,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': True, u'breakfast': False, u'brunch': False}",NA,TRUE,NA,TRUE,"","average",FALSE,"{u'garage': False, u'street': False, u'validated': False, u'lot': True, u'valet': False}","",2,NA,TRUE,FALSE,TRUE,TRUE,"no","77ESrCo7hQ96VpCWWdvoxg","Mexican,Restaurants","Middleton",43.0910607,-89.4874867,"Mi Cocina","",FALSE,17,3,"WI",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"29",NA,"casual",NA,NA,NA,FALSE,"",NA,NA,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': True, u'breakfast': False, u'brunch': False}",NA,TRUE,NA,FALSE,"","quiet",FALSE,"{u'garage': False, u'street': False, u'validated': False, u'lot': True, u'valet': False}","",1,NA,TRUE,FALSE,TRUE,TRUE,NA,"MKsb2VpLB-0UBODcInDsSw","Chinese,Restaurants","Middleton",43.0970483,-89.5006856,"China Wok Buffet","",TRUE,12,2.5,"WI",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"40","none","casual",NA,NA,NA,FALSE,"",NA,NA,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': True, u'breakfast': False, u'brunch': False}",NA,TRUE,NA,TRUE,"","average",NA,"{u'garage': False, u'street': False, u'validated': False, u'lot': False, u'valet': False}","",1,NA,TRUE,FALSE,FALSE,NA,"free","uga5g16PncJOtY7Sc3A05w","Burgers,Fast Food,Restaurants","Middleton",43.090653,-89.5250779,"McDonald's","",TRUE,6,4,"WI",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"44","full_bar","casual",NA,NA,NA,FALSE,"",NA,NA,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': True, u'breakfast': False, u'brunch': False}",NA,TRUE,NA,FALSE,"","average",FALSE,"{u'garage': False, u'street': True, u'validated': False, u'lot': False, u'valet': False}","",3,NA,FALSE,TRUE,TRUE,FALSE,"no","koRLvzIl-4fCybOIdk56jA","Cajun/Creole,Restaurants","Middleton",43.0955526,-89.5110574,"Louisianne's Etc","",TRUE,56,4,"WI",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"63","full_bar","casual",NA,NA,NA,FALSE,"",NA,NA,"{u'dessert': False, u'latenight': False, u'lunch': True, u'dinner': True, u'breakfast': False, u'brunch': False}",FALSE,TRUE,TRUE,TRUE,"{u'dj': False, u'background_music': True, u'karaoke': False, u'live': False, u'video': False, u'jukebox': False}","average",TRUE,"{u'garage': False, u'street': True, u'validated': False, u'lot': False, u'valet': False}","",2,"no",TRUE,FALSE,TRUE,TRUE,"no","G1qUGBNYNS220jKlPAlFsA","Bars,American (Traditional),Nightlife,Restaurants","Middleton",43.095724,-89.5120419,"The Village Green Bar & Grill","",TRUE,34,4,"WI",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"71","full_bar","casual",NA,NA,NA,FALSE,"",FALSE,NA,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': True, u'breakfast': False, u'brunch': False}",NA,TRUE,NA,FALSE,"","average",TRUE,"{u'garage': False, u'street': True, u'validated': False, u'lot': False, u'valet': False}","",2,NA,TRUE,TRUE,TRUE,TRUE,"no","q8fD82us6uuGufvI44NoAg","Restaurants,Italian","Middleton",43.0955423,-89.5109658,"Vin Santo","",TRUE,53,4,"WI",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"105","full_bar","casual",NA,NA,NA,FALSE,"",NA,NA,"{u'dessert': False, u'latenight': False, u'lunch': True, u'dinner': True, u'breakfast': False, u'brunch': False}",NA,TRUE,NA,TRUE,"","average",FALSE,"{u'garage': False, u'street': False, u'validated': False, u'lot': True, u'valet': False}","",2,NA,TRUE,TRUE,TRUE,TRUE,"free","O_Pu4mKGOqQVlmH07Zbnhg","American (Traditional),Restaurants","Windsor",43.1934048235,-89.3387925625,"The Rodeside Grill","",TRUE,14,3.5,"WI",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
